Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
38,2021-05-30 19:27,Baari,Bilal Saeed,93022,62,4tYpkgBjxxin7SiUBW0Rtq,0.432,0.612,11,-8.846,0,0.211,0.00185,0.0,0.308,0.253,88.716,205333
39,2021-05-30 19:36,Element,Pop Smoke,135746,72,3Byz6Mk9WCNYeGthiDVti2,0.701,0.554,1,-5.909,1,0.187,0.217,1.45e-06,0.419,0.0634,97.129,235187
40,2021-05-30 19:41,Big Gangsta,Kevin Gates,243462,81,4wqzOaLxiCRy2Et8tRyNSX,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,234334
41,2021-05-30 19:45,Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,205333,0,1rek5HfnFLCDbike8u23ur,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
42,2021-05-30 19:49,Beware,Big Sean,235186,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
43,2021-05-30 19:53,The Thrill,Wiz Khalifa,234333,95,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147
44,2021-05-30 19:54,Dior,Pop Smoke,18398,90,748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
45,2021-05-30 23:13,Baarishein,Anuv Jain,207309,88,1mWdTewIgB3gtBM3TOSFhB,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442
46,2021-05-30 23:14,good 4 u,Olivia Rodrigo,34641,91,1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704
47,2021-05-30 23:17,Kiss Me More (feat. SZA),Doja Cat,165815,84,1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624
48,2021-05-30 23:17,Butter,BTS,1946,86,27OeeYzk6klgBh83TSvGMA,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385
49,2021-05-30 23:20,MONTERO (Call Me By Your Name),Lil Nas X,137875,87,7MAibcTli4IisCtbHKrGMh,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096
50,2021-05-30 23:23,Arcade,Duncan Laurence,185146,89,5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064
51,2021-05-30 23:26,WITHOUT YOU,The Kid LAROI,161384,91,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082
52,2021-05-30 23:30,Leave The Door Open,Bruno Mars,242096,92,37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014
53,2021-05-30 23:33,Levitating (feat. DaBaby),Dua Lipa,203064,90,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507
54,2021-05-30 23:36,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,85,5zFglKYiknIxks8geR8rcL,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395
