SongName,EndTime,ArtistName,msPlayed,SongID,Popularity
Baarishein,2021-06-03 08:49,Anuv Jain,207309,5iCY0TXNImK4hyKfcplQsg,69
Mishri,2021-06-03 08:51,Anuv Jain,108023,2ePtv8MlBO9nuuXABqAfEX,79
Baarishein,2021-06-03 10:30,Anuv Jain,3640,02Ic9pia5uuFFF0DZmidaz,0
Baarishein,2021-06-03 10:30,Anuv Jain,144,3UjGudrhckjEQjKHLR3p5G,59
SugarCrash!,2021-06-03 10:31,ElyOtto,80080,3UjGudrhckjEQjKHLR3p5G,59
Higher Power,2021-06-03 10:45,Coldplay,172429,2ePtv8MlBO9nuuXABqAfEX,79
Break My Heart Myself (feat. Travis Barker),2021-06-03 12:57,Bebe Rexha,5522,02Ic9pia5uuFFF0DZmidaz,0
Break My Heart Myself (feat. Travis Barker),2021-06-03 13:00,Bebe Rexha,151999,5sbkFKdxVQ2FgEjKMvrHAL,61
SugarCrash!,2021-06-03 13:01,ElyOtto,80080,7mAB9uFSQHhbbicE5Fy5HA,0
Higher Power,2021-06-03 13:06,Coldplay,211294,5iCY0TXNImK4hyKfcplQsg,69
Echo (with KSHMR),2021-06-03 13:09,Armaan Malik,192352,74kCarkFBzXYXNkkYJIsG0,65
Astronomy,2021-06-03 13:24,Conan Gray,211814,0zHZSO80CTxNtvtRhveHRJ,66
Baarishein,2021-06-03 17:09,Anuv Jain,207309,0pWcUM0z72DhTW7j0fa0QM,59
Alag Aasmaan,2021-06-03 17:10,Anuv Jain,18995,4v7DgEMw6EvYyuQ4eWFD9l,77
Sau Aasmaan,2021-06-03 17:14,Armaan Malik,234737,48EDM7iimVXiKEOdo4AJk6,59
Besabriyaan,2021-06-03 17:15,Armaan Malik,21163,1eqwjXdMTed8Pz3PLNcHe9,67
What If (I Told You I Like You),2021-06-03 17:18,Johnny Orlando,219186,2XkujSisSbHTexbzVHHvYl,0
Everybody Wants You,2021-06-03 17:21,Johnny Orlando,109165,2gMXnyrvIjhVBUZwvLZDMP,86
Two of Us,2021-06-03 17:25,Louis Tomlinson,217866,1iWHabUgUuuKLBa0TzTHfk,68
Wonder,2021-06-03 17:28,Shawn Mendes,172692,5IF6IBPqbclVR7SQKmCIyA,61
Before You Go,2021-06-03 17:33,Lewis Capaldi,215106,5WtfUKzXircvW8l5aaVZWT,85
"A Whole New World (End Title) - From ""Aladdin""",2021-06-03 17:37,ZAYN,242956,1BncfTJAWxrsxyT9culBrj,81
Just Like You,2021-06-03 17:47,Louis Tomlinson,205217,1BncfTJAWxrsxyT9culBrj,81
What A Time (feat. Niall Horan),2021-06-03 18:20,Julia Michaels,163901,1BncfTJAWxrsxyT9culBrj,81
Experience,2021-06-03 18:47,Ludovico Einaudi,315426,1BncfTJAWxrsxyT9culBrj,81
Experience,2021-06-03 18:52,Ludovico Einaudi,315426,7xEX406hnVXC7mDfkts2jc,59
Experience,2021-06-03 18:58,Ludovico Einaudi,315426,5tE3p4vIwoqUZLkKF2PNeB,63
Experience,2021-06-03 19:03,Ludovico Einaudi,276632,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar Main Theme - Piano Version,2021-06-03 19:04,Patrik Pietschmann,77290,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:08,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:13,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:17,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:21,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:26,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:30,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:34,Geek Music,243209,5tE3p4vIwoqUZLkKF2PNeB,63
Interstellar- Main Theme,2021-06-03 19:40,Geek Music,243209,1eqwjXdMTed8Pz3PLNcHe9,67
Interstellar- Main Theme,2021-06-03 19:44,Geek Music,243209,6Zc5f20q7sOe1IC1c1jQvZ,71
Interstellar- Main Theme,2021-06-03 19:48,Geek Music,243209,5p7ujcrUXASCNwRaWNHR1C,81
Two of Us,2021-06-03 20:50,Louis Tomlinson,217866,45bE4HXI0AwGZXfZtMp8JR,88
Without Me (with Juice WRLD),2021-06-03 21:00,Halsey,228816,3b34OS7148VGiURvWTYweJ,40
Without Me,2021-06-03 21:04,Halsey,201660,3b34OS7148VGiURvWTYweJ,40
you broke me first,2021-06-03 21:17,Tate McRae,99778,3b34OS7148VGiURvWTYweJ,40
Sygrayem (Let's Play),2021-06-04 01:02,Carlos Rafael Rivera,131637,3b34OS7148VGiURvWTYweJ,40
Sygrayem (Let's Play),2021-06-04 01:04,Carlos Rafael Rivera,131637,3b34OS7148VGiURvWTYweJ,40
Sygrayem (Let's Play),2021-06-04 01:06,Carlos Rafael Rivera,0,3b34OS7148VGiURvWTYweJ,40
Sygrayem (Let's Play),2021-06-04 01:11,Carlos Rafael Rivera,0,3b34OS7148VGiURvWTYweJ,40
Sygrayem (Let's Play),2021-06-04 03:30,Carlos Rafael Rivera,0,3UjGudrhckjEQjKHLR3p5G,59
Sygrayem (Let's Play),2021-06-04 03:32,Carlos Rafael Rivera,131637,2ePtv8MlBO9nuuXABqAfEX,79
Sygrayem (Let's Play),2021-06-04 03:34,Carlos Rafael Rivera,131637,02Ic9pia5uuFFF0DZmidaz,0
Break My Heart Myself (feat. Travis Barker),2021-06-04 19:35,Bebe Rexha,151999,5sbkFKdxVQ2FgEjKMvrHAL,61
